Title,Year,Rating,Duration,Genre,Score,Summary,Link
The Dark Knight,2008,PG-13,152 min,"Action, Crime, Drama",9/10,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://www.imdb.com/title/tt0468569/
Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8/10,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,https://www.imdb.com/title/tt1375666/
Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Thriller",8.1/10,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://www.imdb.com/title/tt0266697/
Gladiator,2000,R,155 min,"Action, Adventure, Drama",8.5/10,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/
Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.5/10,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/
The Bourne Ultimatum,2007,PG-13,115 min,"Action, Mystery, Thriller",8/10,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,https://www.imdb.com/title/tt0440963/
The Dark Knight Rises,2012,PG-13,164 min,"Action, Adventure",8.4/10,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",https://www.imdb.com/title/tt1345836/
The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7/10,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,https://www.imdb.com/title/tt0133093/
Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.8/10,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://www.imdb.com/title/tt0499549/
Minority Report,2002,PG-13,145 min,"Action, Crime, Mystery",7.6/10,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",https://www.imdb.com/title/tt0181689/
L�on: The Professional,1994,R,110 min,"Action, Crime, Drama",8.5/10,"Mathilda, a 12-year-old girl, is reluctantly taken in by L�on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot�g�e and learns the assassin's trade.",https://www.imdb.com/title/tt0110413/
Hot Fuzz,2007,R,121 min,"Action, Comedy, Mystery",7.8/10,A skilled London police officer is transferred to a small town with a dark secret.,https://www.imdb.com/title/tt0425112/
Kill Bill: Vol. 2,2004,R,137 min,"Action, Crime, Thriller",8/10,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",https://www.imdb.com/title/tt0378194/
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8/10,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",https://www.imdb.com/title/tt0381061/
Apocalypto,2006,R,139 min,"Action, Adventure, Drama",7.8/10,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",https://www.imdb.com/title/tt0472043/
Mad Max: Fury Road,2015,R,120 min,"Action, Adventure, Sci-Fi",8.1/10,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",https://www.imdb.com/title/tt1392190/
The Revenant,2015,R,156 min,"Action, Adventure, Biography",8/10,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,https://www.imdb.com/title/tt1663202/
Die Hard,1988,R,132 min,"Action, Thriller",8.2/10,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,https://www.imdb.com/title/tt0095016/
The Fugitive,1993,PG-13,130 min,"Action, Crime, Drama",7.8/10,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",https://www.imdb.com/title/tt0106977/
Indiana Jones and the Last Crusade,1989,PG-13,127 min,"Action, Adventure",8.2/10,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",https://www.imdb.com/title/tt0097576/
Ghost Dog: The Way of the Samurai,1999,R,116 min,"Action, Crime, Drama",7.5/10,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,https://www.imdb.com/title/tt0165798/
The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7/10,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,https://www.imdb.com/title/tt0054047/
Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",8.4/10,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",https://www.imdb.com/title/tt4154796/
